ID,Attribute name,Ideal,Description
1,Read Error Rate,Low,"(Vendor specific raw value.) Stores data related to the rate of hardware read errors that occurred when reading data from a disk surface. The raw value has different structure for different vendors and is often not meaningful as a decimal number. For some drives, this number may increase during normal operation without necessarily signifying errors.[29][30][31]"
2,Throughput Performance,High,Overall (general) throughput performance of a hard disk drive. If the value of this attribute is decreasing there is a high probability that there is a problem with the disk.
3,Spin-Up Time,Low,Average time of spindle spin up (from zero RPM to fully operational [milliseconds]).
4,Start/Stop Count,,"A tally of spindle start/stop cycles. The spindle turns on, and hence the count is increased, both when the hard disk is turned on after having before been turned entirely off (disconnected from power source) and when the hard disk returns from having previously been put to sleep mode.[32]"
5,Reallocated Sectors Count,Low,"Count of reallocated sectors. The raw value represents a count of the bad sectors that have been found and remapped.[36] Thus, the higher the attribute value, the more sectors the drive has had to reallocate. This value is primarily used as a metric of the life expectancy of the drive; a drive which has had any reallocations at all is significantly more likely to fail in the immediate months.[33][37] If Raw value of 0x05 attribute is higher than its Threshold value, that will reported as ""drive warning"".[38]"
6,Read Channel Margin,,Margin of a channel while reading data. The function of this attribute is not specified.
7,Seek Error Rate,Varies,"(Vendor specific raw value.) Rate of seek errors of the magnetic heads. If there is a partial failure in the mechanical positioning system, then seek errors will arise. Such a failure may be due to numerous factors, such as damage to a servo, or thermal widening of the hard disk. The raw value has different structure for different vendors and is often not meaningful as a decimal number. For some drives, this number may increase during normal operation without necessarily signifying errors.[29]"
8,Seek Time Performance,High,"Average performance of seek operations of the magnetic heads. If this attribute is decreasing, it is a sign of problems in the mechanical subsystem."
9,Power-On Hours,,"Count of hours in power-on state. The raw value of this attribute shows total count of hours (or minutes, or seconds, depending on manufacturer) in power-on state.[39] ""By default, the total expected lifetime of a hard disk in perfect condition is defined as 5 years (running every day and night on all days). This is equal to 1825 days in 24/7 mode or 43800 hours.""[40] On some pre-2005 drives, this raw value may advance erratically and/or ""wrap around"" (reset to zero periodically).[41] For some HDDs it might be stored as an unsigned 16-bit integer[citation needed], which would cause it to wrap around after 65535."
10,Spin Retry Count,Low,Count of retry of spin start attempts. This attribute stores a total count of the spin start attempts to reach the fully operational speed (under the condition that the first attempt was unsuccessful). An increase of this attribute value is a sign of problems in the hard disk mechanical subsystem.
11,Recalibration Retries or Calibration Retry Count,Low,This attribute indicates the count that recalibration was requested (under the condition that the first attempt was unsuccessful). An increase of this attribute value is a sign of problems in the hard disk mechanical subsystem.
12,Power Cycle Count,,This attribute indicates the count of full hard disk power on/off cycles.
13,Soft Read Error Rate,Low,Uncorrected read errors reported to the operating system.
22,Current Helium Level,High,Specific to He8 drives from HGST. This value measures the helium inside of the drive specific to this manufacturer. It is a pre-fail attribute that trips once the drive detects that the internal environment is out of specification.[43]
23,Helium Condition Lower,,Specific to MG07+ drives from Toshiba. These values measures level of helium inside of the drive specific to this manufacturer. It is a pre-fail attribute that trips once the drive detects that the internal environment is out of specification.[44]
24,Helium Condition Upper,,Specific to MG07+ drives from Toshiba. These values measures level of helium inside of the drive specific to this manufacturer. It is a pre-fail attribute that trips once the drive detects that the internal environment is out of specification.[44]
170,Available Reserved Space,,See attribute E8.[45]
171,SSD Program Fail Count,,(Kingston) The total number of flash program operation failures since the drive was deployed.[46] Identical to attribute 181.
172,SSD Erase Fail Count,,(Kingston) Counts the number of flash erase failures. This attribute returns the total number of Flash erase operation failures since the drive was deployed. This attribute is identical to attribute 182.
173,SSD Wear Leveling Count,,Counts the maximum worst erase count on any block.
174,Unexpected Power Loss Count,,"Also known as ""Power-off Retract Count"" per conventional HDD terminology. Raw value reports the number of unclean shutdowns, cumulative over the life of an SSD, where an ""unclean shutdown"" is the removal of power without STANDBY IMMEDIATE as the last command (regardless of PLI activity using capacitor power). Normalized value is always 100.[47]"
175,Power Loss Protection Failure,,"Last test result as microseconds to discharge cap, saturated at its maximum value. Also logs minutes since last test and lifetime number of tests. Raw value contains the following data: Bytes 0-1: Last test result as microseconds to discharge cap, saturates at max value. Test result expected in range 25 <= result <= 5000000, lower indicates specific error code. Bytes 2-3: Minutes since last test, saturates at max value. Bytes 4-5: Lifetime number of tests, not incremented on power cycle, saturates at max value. Normalized value is set to one on test failure or 11 if the capacitor has been tested in an excessive temperature condition, otherwise 100.[47]"
176,Erase Fail Count,,S.M.A.R.T. parameter indicates a number of flash erase command failures.[48]
177,Wear Range Delta,,Delta between most-worn and least-worn Flash blocks. It describes how good/bad the wearleveling of the SSD works on a more technical way.
178,Used Reserved Block Count,,"""Pre-Fail"" attribute used at least in Samsung devices."
179,Used Reserved Block Count Total,,"""Pre-Fail"" attribute used at least in Samsung devices.[49]"
180,Unused Reserved Block Count Total,,"""Pre-Fail"" attribute used at least in HP devices. If the value drops to 0 the device may become read-only to allow the user to retrieve stored data.[50]"
181,Program Fail Count Total or Non-4K Aligned Access Count,Low,"(Flash Memory) Total number of Flash program operation failures since the drive was deployed (indicating old age).[51] (HDD, Advanced Format) Number of user data accesses (both reads and writes) where LBAs are not 4 KiB aligned (LBA % 8 != 0) or where size is not modulus 4 KiB (block count != 8), assuming logical block size (LBS)=512 B (indicating bad software configuration).[52]"
182,Erase Fail Count,,"""Pre-Fail"" Attribute used at least in Samsung devices."
183,SATA Downshift Error Count or Runtime Bad Block,Low,"Western Digital, Samsung or Seagate attribute: Either the number of downshifts of link speed (e.g. from 6Gbit/s to 3Gbit/s) or the total number of data blocks with detected, uncorrectable errors encountered during normal operation.[53] Although degradation of this parameter can be an indicator of drive aging and/or potential electromechanical problems, it does not directly indicate imminent drive failure.[54]"
184,End-to-End error / IOEDC,Low,"This attribute is a part of Hewlett-Packard's SMART IV technology, as well as part of other vendors' IO Error Detection and Correction schemas, and it contains a count of parity errors which occur in the data path to the media via the drive's cache RAM.[56]"
185,Head Stability,,Western Digital attribute.
186,Induced Op-Vibration Detection,,Western Digital attribute.
187,Reported Uncorrectable Errors,Low,The count of errors that could not be recovered using hardware ECC (see attribute 195).[57]
188,Command Timeout,Low,The count of aborted operations due to HDD timeout. Normally this attribute value should be equal to zero.[58]
189,High Fly Writes,Low,"HDD manufacturers implement a flying height sensor that attempts to provide additional protections for write operations by detecting when a recording head is flying outside its normal operating range. If an unsafe fly height condition is encountered, the write process is stopped, and the information is rewritten or reallocated to a safe region of the hard drive. This attribute indicates the count of these errors detected over the lifetime of the drive. This feature is implemented in most modern Seagate drives[3] and some of Western Digital's drives, beginning with the WD Enterprise WDE18300 and WDE9180 Ultra2 SCSI hard drives, and will be included on all future WD Enterprise products.[59]"
