,count,ratio,ratio_percent
ST4000DM000,80454439,0.12358241680983272,12.358241680983271
TOSHIBA MG07ACA14TA,68245826,0.1048293197876045,10.48293197876045
ST8000NM0055,42736967,0.06564631777473541,6.564631777473541
HGST HMS5C4040BLE640,41156102,0.06321802270763445,6.321802270763445
ST12000NM0008,39632553,0.06087776815004311,6.087776815004311
ST16000NM001G,37817926,0.058090401870994464,5.809040187099447
ST12000NM0007,37147796,0.05706104555447384,5.706104555447384
ST8000DM002,31658329,0.04862892412910635,4.862892412910635
TOSHIBA MG08ACA16TA,30687263,0.04713731366418399,4.713731366418399
HGST HUH721212ALN604,25143580,0.038621913498786235,3.8621913498786236
WDC WUH721816ALE6L4,23552287,0.03617760045357851,3.6177600453578513
ST12000NM001G,22706260,0.03487805672863411,3.487805672863411
HGST HUH721212ALE604,21613689,0.033199807940940296,3.31998079409403
ST14000NM001G,18113014,0.02782257975635546,2.782257975635546
HGST HMS5C4040ALE640,16789193,0.025789118326046943,2.5789118326046943
WDC WUH721414ALE6L4,14688314,0.0225620533253821,2.25620533253821
WDC WUH722222ALE6L4,14533863,0.022324808145427574,2.2324808145427575
TOSHIBA MG08ACA16TE,8422214,0.01293698115289336,1.2936981152893359
TOSHIBA MG08ACA16TEY,7151157,0.010984568111233153,1.0984568111233153
Hitachi HDS5C3030ALA630,6641559,0.010201797723119986,1.0201797723119985
HGST HUH721212ALE600,5641318,0.008665372863178027,0.8665372863178027
Hitachi HDS722020ALA330,5306511,0.008151091007022772,0.8151091007022773
Hitachi HDS5C4040ALE630,4408690,0.006771988866460699,0.6771988866460699
ST6000DX000,4287015,0.006585089414395209,0.6585089414395209
WDC WUH721816ALE6L0,4091319,0.0062844896595449255,0.6284489659544925
TOSHIBA MG10ACA20TE,3885513,0.005968360391973196,0.5968360391973195
ST10000NM0086,3389398,0.005206300628985971,0.520630062898597
HGST HUH728080ALE600,3069331,0.004714660218677812,0.4714660218677812
ST14000NM0138,2540557,0.00390243444619803,0.39024344461980304
ST3000DM001,2205148,0.0033872278851309746,0.33872278851309745
Seagate BarraCuda 120 SSD ZA250CM10003,1827448,0.0028070600359825413,0.28070600359825415
ST500LM012 HN,1768669,0.0027167722784895688,0.27167722784895687
ST31500541AS,1445217,0.002219932323120866,0.2219932323120866
Hitachi HDS723030ALA640,1429666,0.0021960451369357793,0.21960451369357792
ST24000NM002H,1282596,0.001970137576506179,0.1970137576506179
WDC WD30EFRX,1271769,0.0019535067125857923,0.19535067125857922
Seagate BarraCuda SSD ZA250CM10002,1086040,0.0016682168146390371,0.16682168146390372
TOSHIBA MG07ACA14TEY,1057345,0.0016241397258613983,0.16241397258613982
TOSHIBA MQ01ABF050,1015261,0.0015594964010968689,0.1559496401096869
WDC WD5000LPVX,852319,0.001309208580932866,0.1309208580932866
TOSHIBA MQ01ABF050M,819088,0.0012581639481686307,0.12581639481686308
CT250MX500SSD1,755540,0.0011605507459507736,0.11605507459507736
WDC WD60EFRX,689774,0.001059530574473157,0.10595305744731569
DELLBOSS VD,655350,0.0010066534284866977,0.10066534284866976
ST500LM030,531808,0.0008168861623508868,0.08168861623508868
ST16000NM002J,467928,0.0007187629899823353,0.07187629899823353
ST12000NM000J,439834,0.0006756090700618268,0.06756090700618267
TOSHIBA MD04ABA400V,376598,0.0005784751169012487,0.05784751169012487
WDC WD10EADS,370505,0.0005691159357922697,0.05691159357922697
ST31500341AS,330431,0.0005075600809159807,0.050756008091598075
ST4000DX000,293560,0.00045092420915015635,0.045092420915015634
ST8000NM000A,240875,0.00036999716882083356,0.03699971688208335
Seagate SSD,234499,0.00036020328424002764,0.03602032842400276
ST33000651AS,222587,0.0003419058010018594,0.03419058010018594
WDC WD5000LPCX,175438,0.00026948235932989893,0.026948235932989895
WDC WDS250G2B0A,168685,0.0002591093821382141,0.025910938213821406
MTFDDAV240TCB,154070,0.00023665994312496453,0.02366599431249645
HGST HDS5C4040ALE630,145139,0.00022294143886035067,0.022294143886035067
ST14000NM000J,142015,0.00021814280406887672,0.02181428040688767
WDC WD1600AAJS,126941,0.00019498831596174545,0.019498831596174545
WDC WD30EZRX,123577,0.0001898210280492876,0.01898210280492876
Seagate IronWolf ZA250NM10002,122025,0.0001874370712002583,0.018743707120025828
ST32000542AS,119309,0.00018326514671445702,0.018326514671445703
HGST HUH728080ALE604,114097,0.00017525922977042302,0.0175259229770423
